"COLUMN	year	month	day	dep_time	dep_delay	arr_time	arr_delay	carrier	tailnum	flight	origin	dest	air_time	distance	hour	minute"
"1	2013	1	1	517	2	830	11	UA	N14228	1545	EWR	IAH	227	1400	5	17"
"2	2013	1	1	533	4	850	20	UA	N24211	1714	LGA	IAH	227	1416	5	33"
"3	2013	1	1	542	2	923	33	AA	N619AA	1141	JFK	MIA	160	1089	5	42"
"4	2013	1	1	544	-1	1004	-18	B6	N804JB	725	JFK	BQN	183	1576	5	44"
"5	2013	1	1	554	-6	812	-25	DL	N668DN	461	LGA	ATL	116	762	5	54"
"6	2013	1	1	554	-4	740	12	UA	N39463	1696	EWR	ORD	150	719	5	54"
"7	2013	1	1	555	-5	913	19	B6	N516JB	507	EWR	FLL	158	1065	5	55"
"8	2013	1	1	557	-3	709	-14	EV	N829AS	5708	LGA	IAD	53	229	5	57"
"9	2013	1	1	557	-3	838	-8	B6	N593JB	79	JFK	MCO	140	944	5	57"
"10	2013	1	1	558	-2	753	8	AA	N3ALAA	301	LGA	ORD	138	733	5	58"
